Titulo,Origem,Destino,Atualizacao,Descricao,Rota_1,Rota_2
PORTO ALEGRE x PELOTAS,PORTO ALEGRE,PELOTAS,10/05/2024 10:22,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul

Saindo de Porto Alegre e indo para Pelotas
De Porto Alegre para Pelotas",https://www.google.com/maps/d/u/0/viewer?mid=1Krq05nAW7a0icb1phPMwLIGhB-Q_GM8&ll=-30.705948406811196%2C-51.81608500000001&z=8,https://www.google.com/maps/d/u/0/viewer?mid=16P3aWl81Xc7YJ3dSp363_ZGXQIGyKls&ll=-29.603612764934507%2C-53.94320263173926&z=7
CAXIAS DO SUL x TORRES,CAXIAS DO SUL,TORRES,10/05/2024 09:32,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul

Saindo de Caxias do Sul e indo para Torres
De Caxias do Sul  para Torres",https://www.google.com/maps/d/u/0/viewer?mid=1z-3WN9Hxi0Pxg_GnODVvoXPqt0On2zA&ll=-29.481899466083053%2C-50.45482965&z=9,
CAXIAS DO SUL x ANTONIO PRADO,CAXIAS DO SUL,ANTONIO PRADO,10/05/2024 09:20,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul

Saindo de Caxias do Sul e indo para Antonio Prado
De Caxias do Sul  para Antonio Prado",https://www.google.com/maps/d/u/0/viewer?mid=1vRo2M0b2E6nd1Q6MgsL0RubGCeDdSV8&ll=-29.00773401334039%2C-51.22648545&z=11,
TRIUNFO x NOVA SANTA RITA,TRIUNFO,NOVA SANTA RITA,10/05/2024 09:19,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul
 \n Saindo de TRIUNFO e indo para NOVA SANTA RITA  \n De TRIUNFO para NOVA SANTA RITA   ",https://www.google.com/maps/d/u/0/viewer?mid=13AvWAYVihiPNIaATxtZpalFi64uYavw&ll=-29.603612764934507%2C-53.94320263173926&z=7,
PELOTAS x BENTO GONCALVES,PELOTAS,BENTO GONCALVES,10/05/2024 08:47,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul
 \n Saindo de PELOTAS e indo para BENTO GONCALVES  \n De PELOTAS para BENTO GONCALVES   ",https://www.google.com/maps/d/u/0/viewer?mid=1NT6PWLaYL-ZVvjC6qPjBcnXO2VnfGec&ll=-30.476983443396346%2C-52.17736000000001&z=8,https://www.google.com/maps/d/u/0/viewer?mid=1bEI36pnooMSoaj7d2wLSInaNj79ZsnQ&ll=-29.603612764934507%2C-53.94320263173926&z=7
SANANDUVA x ENCANTADO,SANANDUVA,ENCANTADO,09/05/2024 23:14,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul
 \n Saindo de SANANDUVA e indo para ENCANTADO  \n De SANANDUVA para ENCANTADO   ",https://www.google.com/maps/d/u/0/viewer?mid=1nh9Wglp2Be7-GGM3zU_JcCFvxXSHhH0&ll=-28.59652448952189%2C-51.92127500000001&z=9,
ENCANTADO x SANANDUVA,ENCANTADO,SANANDUVA,09/05/2024 23:05,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul
 \n Saindo de ENCANTADO e indo para SANANDUVA  \n De ENCANTADO para SANANDUVA   ",https://www.google.com/maps/d/u/0/viewer?hl=pt-BR&ll=-28.66427709793064%2C-51.4153&z=9&mid=1atnqi51cFEaBBYzw9ixRKg-5a5s5JPg,
CAXIAS DO SUL x ENCANTADO,CAXIAS DO SUL,ENCANTADO,09/05/2024 23:04,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul
 \n Saindo de CAXIAS DO SUL e indo para ENCANTADO  \n De CAXIAS DO SUL para ENCANTADO   ",https://www.google.com/maps/d/u/0/viewer?mid=1SGN72z9ERz1jJ0l0asdDSeVrmRH4zV0&ll=-29.27404889798444%2C-51.539639999999984&z=10,
SANANDUVA x CAXIAS DO SUL,SANANDUVA,CAXIAS DO SUL,09/05/2024 22:59,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul
 \n Saindo de SANANDUVA e indo para CAXIAS DO SUL  \n De SANANDUVA para CAXIAS DO SUL   ",https://www.google.com/maps/d/u/0/viewer?hl=pt-BR&ll=-28.77731285551079%2C-50.269296017525356&z=8&mid=1-0WWo99yOgCsR0BEFLzhJCOOvv9hLLs,
TORRES x MONTENEGRO,TORRES,MONTENEGRO,09/05/2024 22:26,"Estradas Alternativas 
Rotas Alternativas no  Rio Grande do Sul
Desastre Ambiental no Rio Grande do Sul
 \n Saindo de TORRES e indo para MONTENEGRO  \n De TORRES para MONTENEGRO   ",https://www.google.com/maps/d/u/0/viewer?mid=1ZhH-TaEuVmMKNuJEdTAvLi5x4F-E-hY&ll=-29.603612764934507%2C-53.94320263173926&z=7,https://www.google.com/maps/d/u/0/viewer?mid=1igNLwQioHvK5mg6RPL3NBwyK67XUa5g&ll=-29.603612764934507%2C-53.94320263173926&z=7
